Tiffany Obrien, 20000452, DS, inventing time machines,signing sports memorabilia,solving crimes,pioneering new technologies,piloting a spaceship,building an army,terrorizing employees,preventing crime,interpreting evidence,smoking Laramie Hi-Tars
Felicia Cole, 20000409, DS, causing mayhem,fighting for the resistance,eluding FBI profilers,promoting mysticism,pursuing criminals,extracting confessions,saving money,solving crimes,fighting for justice,instigating rebellion
Romona Mccain, 20000365, DS, fighting the forces of good,beating menial staff,burping,running a criminal empire,pulling pranks,punishing criminals,terrorizing employees,solving crimes,saving money,eluding the CIA
Theodora Harlow, 20000261, CS, fighting for worker's rights,racking up marriages,singing middle-of-the-road songs,spreading revolution,singing pop songs,piloting a spaceship,running for the senate,exploring foreign countries,fighting against totalitarianism,arguing against capitalism
Joseph Bailey, 20000091, CS, popping Viagra,running for the senate,instigating rebellion,crushing dissent,starring in Hollywood movies,promoting conservative values,working in a freak show,promoting feminism,campaigning for the presidency,running for the presidency
Christopher Sorenson, 20000399, CS, singing pop songs, spreading revolution,performing Web searches,promoting liberal values,solving mysteries,writing TV comedies,eluding the public gaze,hiding from the public,fighting for worker's rights,promoting conservative values
Jesse Cooper, 20000038, DS, exploring foreign countries,promoting science,manipulating political pawns,belching,driving under the influence,fighting for justice,solving crimes,promoting mysticism,climbing social ladders,writing novels
Rose Thompson, 20000050, DS, singing middle-of-the-road songs,extracting confessions,eluding FBI profilers,hacking into computers,instigating rebellion,plotting election strategies,eating carrots,duelling acrobatically,eating census takers,piloting the Millenium Falcon
Homer Wise, 20000199, CS, crooning love songs,ranting about liberals,running a tech giant,managing hedge funds,painting colorful pictures,performing Web searches,collecting rock samples,singing Hipbop songs,campaigning for democracy, spreading revolution
Casey Chambers, 20000117, CS, playing golf,writing plays,running for the senate,performing household chores,starring in Hollywood movies,working in a freak show,piloting the lunar module,fighting with swords,designing clothes,singing pop songs
Aleisha Albright, 20000280, CS, writing polemics,issuing threats,picking weird children names,running a criminal enterprise,amassing nuclear weapons,throwing sex parties,campaigning for the presidency,singing pop songs,writing TV comedies,spreading revolution
Gordon Coleman, 20000142, DS, promoting conservative values,saving money,digging for antiquities,solving crimes,solving mysteries,eating carrots,preventing crime,teaching the next generation,instigating rebellion,eluding FBI profilers
Gilbert Hansen, 20000462, CS, fighting with swords,writing pop songs,singing pop songs,hiding from the public,racking up marriages,managing hedge funds,performing Web searches,building a search engine,opening new markets,singing Hipbop songs
Meagan Negrete, 20000201, CS, making cartoons,designing clothes,singing Hipbop songs,performing Web searches,running a kingdom,fighting for worker's rights,over-acting,fighting with swords,recording pop songs,giving to the poor
Kirby Landis, 20000228, DS, chasing flappers,fighting for justice,interpreting evidence,talking in riddles,solving crimes,beating menial staff,managing hedge funds,killing people in ingenious ways,selling fried chicken,saving money
Sue Pena, 20000455, DS, promoting science,writing novels,fighting for the rebel alliance,extracting confessions,solving crimes,interpreting evidence,coining epigrams,signing sports memorabilia,teaching the next generation,treating diseases
Lee Klein, 20000104, DS, doing the Charleston,terrorizing employees,promoting pacifism,interpreting evidence,diagnosing diseases,piloting the Millenium Falcon,drinking one's life away,hacking into computers,recruiting dissidents,managing hedge funds
Joline Hinds, 20000250, CS, dating centrefolds,campaigning for the presidency,starring in Hollywood movies,amassing nuclear weapons,licking frogs,writing comedy,solving crimes,promoting conservative values,leading armies into battle,writing short stories
Darryl Hanson, 20000112, CS, singing torch songs,telling politicians what to do,running a new-age website,painting colorful pictures,raising new-age children,publishing soft pornography,enjoying ball-room dancing,spreading revolution,cracking enemy codes,interpreting evidence
Sue Pena, 20000455, CS, running a tech giant,crushing dissent,promoting feminism,over-acting,promoting liberalism,racking up marriages,working in a freak show,fighting against totalitarianism,instigating rebellion,writing comedy
Lori Shelton, 20000189, CS, promoting socialism,building a search engine,directing action movies,producing Hipbop records,leading revolts,enjoying ball-room dancing,working in a freak show,frowning at errant husbands,wielding political power,doing stand-up
Meagan Negrete, 20000201, CS, writing plays,fighting against totalitarianism,fighting with swords,starring in action movies,giving to the poor,shilling for rental car companies,performing Web searches,collecting rock samples,wielding political power,ruling over subjects
Ruth Kelly, 20000098, CS, issuing threats,amassing nuclear weapons,starring in Hollywood movies,giving to the poor,singing pop songs,running for the senate,recruiting dissidents,promoting pacifism,wielding political power,playing camp villains
Valentine Villegas, 20000351, CS, dating centrefolds,painting colorful pictures,performing Web searches,coining sparkling witticisms,writing pop songs,spreading revolution,playing golf,writing TV comedies,instigating rebellion,over-acting
Evangeline Benitez, 20000276, DS, interpreting evidence,doing the Charleston,climbing social ladders,promoting logical thinking,eluding FBI profilers,starring in Hollywood movies,wielding political power,sucking roots,developing military strategies,looking for hidden treasures
Tonya Dunn, 20000432, DS, duelling acrobatically,managing hedge funds,causing mayhem,smoking Laramie Hi-Tars,treating diseases,signing sports memorabilia,killing people in ingenious ways,burping,promoting conservative values,extracting confessions
Rossana Denton, 20000251, CS, giving to the poor,cracking enemy codes,performing Web searches,crushing dissent,campaigning for the presidency,entertaining teenagers,coining epigrams,instigating rebellion,wielding political power,starring in comedies
Annmarie Toney, 20000393, DS, spreading revolution,digging for antiquities,fighting for justice,starring in Hollywood movies,maintaining a secret identity,piloting a spaceship,directing action movies,pioneering new technologies,promoting capitalism,performing magic tricks
Gene Ramon, 20000372, DS, doing the Charleston,foiling the schemes of evil villains,solving crimes,causing mayhem,burping,promoting capitalism,writing novels,devising evil schemes,drinking one's life away,inventing time machines
Troy Jensen, 20000143, DS, solving mysteries,burping,interpreting evidence,sucking roots,studying science,pulling pranks,eating carrots,leading armies into battle,coining epigrams,launching hostile takeovers
Lela Powell, 20000185, CS, signing sports memorabilia,starring in Hollywood movies,leading armies into battle,over-acting,singing middle-of-the-road songs,playing golf,enriching uranium,writing pop songs,instigating rebellion,amassing nuclear weapons
Bonita Billups, 20000255, DS, fighting for the resistance,drinking one's life away,smoking Laramie Hi-Tars,coining epigrams,interpreting evidence,surviving a shipwreck,diagnosing diseases,making vulgar jokes,finding clues,climbing social ladders
Antonia Hubbard, 20000427, DS, fighting for the rebel alliance,tracking down criminals,performing magic tricks,transforming into vehicles,diagnosing diseases,leading armies into battle,interpreting evidence,promoting logical thinking,eluding hunters,solving mysteries
Leora Pyle, 20000356, CS, ruling over subjects,crushing dissent,singing middle-of-the-road songs,running a criminal enterprise,fighting for worker's rights,enjoying ball-room dancing,telling politicians what to do,fighting with swords,singing pop songs,writing pop songs
Porfirio Nye, 20000303, DS, eating census takers,wielding political power,running a hotel,solving crimes,extracting confessions,promoting capitalism,diagnosing diseases,shagging spies,directing the business of state,pioneering new technologies
Katrice Gerald, 20000257, CS, promoting liberal values,promoting conservative values,promoting communism,solving crimes,scandalizing polite society,singing middle-of-the-road songs,promoting pacifism, spreading revolution,running a crime family,fighting with swords
Jessi Chang, 20000321, DS, saving money,sucking roots,twirling a cane,wielding political power,promoting logical thinking,eating census takers,fighting for justice,devising evil schemes,smoking Laramie Hi-Tars,signing sports memorabilia
Willie Adams, 20000040, CS, singing Hipbop songs,fighting with swords,fighting for worker's rights,promoting communism,interpreting evidence,singing pop songs,building a search engine,developing military strategies,ranting about liberals,ruling over subjects
Marquerite Holiday, 20000349, CS, campaigning for the presidency,writing plays,telling politicians what to do,coining sparkling witticisms,chasing after women,entertaining teenagers,licking frogs,raising new-age children,publishing soft pornography,fighting for democracy
Kasie Berube, 20000227, DS, drinking one's life away,singing middle-of-the-road songs,finding clues,signing sports memorabilia,foiling the schemes of evil villains,piloting the Millenium Falcon,developing military strategies,pioneering new technologies,eluding capture,fighting for justice
Willette Rudd, 20000323, DS, killing people in ingenious ways,wielding political power,foiling the schemes of evil villains,writing plays,talking in riddles,fighting for the rebel alliance,performing magic tricks,smoking Laramie Hi-Tars,interpreting evidence,starring in Hollywood movies
Daphne Reno, 20000345, CS, telling politicians what to do,promoting communism,cracking enemy codes,performing household chores,starring in action movies,instigating rebellion,writing novels,amassing nuclear weapons,working in a freak show,issuing threats
Carylon Whitlow, 20000338, DS, managing hedge funds,solving mysteries,foiling the schemes of evil villains,finding clues,launching hostile takeovers,piloting the Millenium Falcon,promoting mysticism,treating diseases,interpreting evidence,fighting for justice
Heather Turner, 20000061, CS, fighting for democracy,playing golf,publishing soft pornography,ruling over subjects,singing Hipbop songs,performing Web searches,fighting with swords,painting colorful pictures,promoting pacifism,ranting about liberals
Yelena Ratliff, 20000282, DS, fighting for the rebel alliance,killing for Mi6,sucking roots,preparing for war,eluding hunters,signing sports memorabilia,interpreting evidence,treating diseases,extracting confessions,directing action movies
Virgil Jacobs, 20000500, DS, diagnosing diseases,preparing for war,terrorizing employees,running a hotel,fighting for justice,solving mysteries,foiling the schemes of evil villains,devising evil schemes,promoting capitalism,smoking Laramie Hi-Tars
Lee Klein, 20000104, CS, singing jazz songs,leading armies into battle,over-acting,writing plays,wielding political power,singing Hipbop songs,enriching uranium, fighting for democracy,crushing dissent,solving mysteries
Edris Pederson, 20000273, CS, playing camp villains,running for the senate,writing plays,hiding from the public,picking weird children names,spreading revolution,issuing threats,telling politicians what to do,fighting for democracy,solving crimes
Wilfred Craig, 20000114, DS, running a criminal empire,extracting confessions,beating menial staff,solving mysteries,devising evil schemes,solving crimes,inventing time machines,developing military strategies,punishing criminals,selling fried chicken
Yolanda Morales, 20000410, CS, dating centrefolds,running a crime family,singing pop songs,playing golf,interpreting evidence,writing pop songs,enjoying ball-room dancing,building a search engine,leading armies into battle,running a kingdom
Omer Mcqueen, 20000308, DS, running a criminal empire,singing middle-of-the-road songs,treating diseases,terrorizing employees,handing out flowers,launching hostile takeovers,instigating rebellion,tracking down criminals,promoting science,foiling the schemes of evil villains
Stephane Pickard, 20000225, DS, punishing criminals,plotting election strategies,looking for hidden treasures,exploring foreign countries,solving crimes,smuggling contraband,finding clues,wielding political power,watching MacGyver reruns,solving mysteries
Stacey Roy, 20000137, CS, fighting for democracy,leading armies into battle,crushing dissent,scandalizing polite society,fighting for worker's rights,promoting liberal values,playing golf,running a tech giant,raising new-age children,throwing Bunga Bunga parties
Jacquelynn Ritchey, 20000245, CS, throwing Bunga Bunga parties,singing torch songs,crushing dissent,promoting liberal values,hiding from the public,managing hedge funds,fighting for worker's rights,making antisemitic remarks,directing robot movies,frowning at errant husbands
Odessa Bertram, 20000348, CS, writing TV comedies,wielding political power,raising new-age children,throwing Bunga Bunga parties,promoting conservative values,chasing after women,writing political tracts,fighting with swords,running pyramid schemes,singing middle-of-the-road songs
Carol Patterson, 20000059, DS, diagnosing diseases,fighting for justice,playing rock music,solving mysteries,treating diseases,handing out flowers,developing military strategies,solving crimes,instigating rebellion,interpreting evidence
Romelia Holden, 20000312, CS, solving mysteries,issuing threats,writing comedy,starring in action movies,promoting pacifism,leading armies into battle,ruling over subjects,hiding from the public,crushing dissent,performing Web searches
Jacqueline Perez, 20000009, CS, working in a freak show,leading armies into battle,starring in comedies,playing golf,writing pop songs,writing plays,cheating clients,enriching uranium,enjoying ball-room dancing,amassing nuclear weapons
Janice Lewis, 20000014, DS, burping,solving mysteries,solving crimes,eluding FBI profilers,drinking one's life away,sucking roots,climbing social ladders,inventing time machines,studying science,terrorizing employees
Verla Carnahan, 20000394, CS, over-acting,painting colorful pictures,singing pop songs,writing novels,racking up marriages,directing robot movies,running for the senate,writing plays,cracking enemy codes,promoting political causes
Tina Griffin, 20000138, CS, managing hedge funds,singing Hipbop songs,performing Web searches,starring in Hollywood movies,hiding from the public,dating centrefolds,over-acting,recruiting dissidents,starring in comedies,painting colorful pictures
Mamie Brown, 20000429, DS, talking in riddles,eluding hunters,wielding political power,solving mysteries,punishing criminals,smoking Laramie Hi-Tars,foiling the schemes of evil villains,teaching the next generation,shagging spies,playing rock music
Kenyatta Craft, 20000320, CS, starring in Hollywood movies,promoting communism,singing torch songs,producing Hipbop records,promoting conservative values,running for the presidency,playing soccer,publishing newspapers,building a search engine,fighting with swords
Steve Spencer, 20000180, CS, performing household chores,performing Web searches,instigating rebellion,running for the presidency,singing middle-of-the-road songs, fighting for democracy,cracking enemy codes,leading revolts,arguing with political opponents,crushing dissent
Jesse Cooper, 20000038, CS, publishing newspapers,signing sports memorabilia,ruling over subjects,promoting feminism,studying computability,starring in musical comedies,coining sparkling witticisms,writing political tracts,enriching uranium,campaigning for social causes
Petra Yarbrough, 20000269, CS, singing middle-of-the-road songs,writing polemics,publishing newspapers,spreading revolution,singing Hipbop songs,campaigning for the presidency,solving mysteries,painting colorful pictures,writing pop songs,cheating clients
Carmella Stamm, 20000344, DS, twirling a cane,deep-frying chicken,interpreting evidence,smoking Laramie Hi-Tars,developing military strategies,running a criminal empire,drinking one's life away,unearthing ancient tombs,eluding the CIA,fighting the forces of good
Martin Phillips, 20000060, DS, performing magic tricks,promoting science,watching MacGyver reruns,solving crimes,instigating rebellion,interpreting evidence,terrorizing employees,solving mysteries,finding clues,recruiting dissidents
Setsuko Prescott, 20000391, DS, foiling the schemes of evil villains,solving crimes,terrorizing employees,fighting for justice,managing hedge funds,twirling a cane,running a criminal empire,beating menial staff,shagging spies,teaching the next generation
Lucy Wood, 20000434, CS, hiding from the public,cracking enemy codes,cheating clients,studying computability,enriching uranium,racking up marriages,fighting for worker's rights,campaigning for the presidency,spreading revolution,publishing newspapers
Kattie Fountain, 20000266, DS, finding clues,pulling pranks,transforming into vehicles,watching MacGyver reruns,promoting capitalism,duelling acrobatically,interpreting evidence,running a criminal empire,smuggling contraband,piloting a spaceship
Gregory Falk, 20000307, DS, directing the business of state,pulling pranks,finding clues,solving crimes,signing sports memorabilia,running a hotel,directing action movies,eating carrots,devising evil schemes,instigating rebellion
Serina Earle, 20000359, CS, writing TV comedies,promoting conservative values,coining sparkling witticisms,writing pop songs,picking weird children names,singing torch songs,spreading revolution,enjoying ball-room dancing,racking up marriages,singing middle-of-the-road songs
Darryl Hanson, 20000112, DS, promoting science,hacking into computers,transforming into vehicles,solving mysteries,teaching the next generation,inventing time machines,searching for the messiah,promoting mysticism,digging for antiquities,instigating rebellion
Preston Rogers, 20000175, DS, promoting pacifism,starring in Hollywood movies,wielding political power,promoting logical thinking,managing hedge funds,smuggling contraband,talking in riddles,drinking one's life away,inventing time machines,piloting the Millenium Falcon
Lester Holt, 20000496, CS, throwing sex parties,enriching uranium,promoting conservative values,womanizing,building a search engine, spreading revolution,playing camp villains,leading revolts,ruling over subjects,over-acting
Sanda Luther, 20000370, CS, writing comedy,writing polemics,starring in action movies,writing plays,publishing newspapers,fomenting social revolution,amassing nuclear weapons,fighting with swords,issuing threats,painting colorful pictures
Guillermo Hawkins, 20000433, CS, promoting conservative values,directing action movies,working in a freak show,running for the senate,wielding political power,writing plays,promoting communism,chasing after women,dating centrefolds,spreading revolution
Lorine Linkous, 20000334, DS, preventing crime,punishing criminals,making money,solving mysteries,plotting against family members,causing mayhem,hacking into computers,diagnosing diseases,fighting for justice,preparing for war
Antony Marchand, 20000270, CS, leading armies into battle,throwing Bunga Bunga parties,campaigning for the presidency,directing action movies,recording pop songs,designing computer systems,ranting about liberals,wielding political power,starring in Hollywood movies,frowning at errant husbands
Verla Carnahan, 20000394, CS, writing political tracts,promoting enlightenment,writing novels,cheating clients,promoting conservative values,fighting for democracy,cracking enemy codes,running a tech giant,fomenting social revolution,starring in comedies
Elias Matthews, 20000116, CS, throwing Bunga Bunga parties,wielding political power,performing household chores,hiding from the public,writing polemics,arguing with political opponents,writing pop songs,publishing soft pornography,enjoying ball-room dancing,spreading revolution
Benjamin Chavez, 20000178, DS, twirling a cane,running a hotel,solving crimes,pursuing criminals,transforming into vehicles,finding clues,duelling acrobatically,promoting the Dark Side,building an army,piloting the Millenium Falcon
Vicky Blake, 20000102, CS, starring in Hollywood movies,coining sparkling witticisms,playing golf,recruiting dissidents,directing action movies,running a crime family,sucking roots,womanizing,making threatening phone calls,signing sports memorabilia
Eileen Torres, 20000190, CS, signing sports memorabilia,promoting communism,leading armies into battle,fomenting social revolution,singing Hipbop songs,spreading revolution,shilling for rental car companies,campaigning for social causes,amassing nuclear weapons,coining sparkling witticisms
Vivian Fowler, 20000198, DS, instigating rebellion,plotting against family members,foiling the schemes of evil villains,promoting capitalism,wisecracking,diagnosing diseases,wielding political power,starring in Hollywood movies,doing the Charleston,seeking revenge
Steven Green, 20000437, CS, entertaining teenagers,running a crime family,building a search engine,performing Web searches,spreading revolution,publishing newspapers,signing sports memorabilia,coining epigrams,crushing dissent,womanizing
Ismael Abbott, 20000415, DS, instigating rebellion,wielding political power,drinking one's life away,killing for Mi6,clipping coupons,developing military strategies,fighting the forces of good,solving crimes,promoting science,smoking Laramie Hi-Tars
Jeannette Owen, 20000489, DS, killing for Mi6,searching for the messiah,promoting conservative values,extracting confessions,making money,eating people,solving mysteries,interpreting evidence,terrorizing employees,finding clues
Carmella Stamm, 20000344, CS,  spreading revolution,amassing nuclear weapons,starring in comedies,performing household chores,running a criminal enterprise,signing sports memorabilia,throwing sex parties,playing camp villains,designing clothes,singing Hipbop songs
Wayne Tucker, 20000484, CS, writing short stories,playing camp villains,playing soccer,writing plays,managing hedge funds,enjoying ball-room dancing,cracking enemy codes,promoting Heliocentrism,spreading revolution,promoting conservative values
Ann Mack, 20000123, DS, killing for Mi6,writing novels,digging for antiquities,coining epigrams,eating carrots,exploring foreign countries,foiling the schemes of evil villains,driving under the influence,solving mysteries,transforming into vehicles
Kathryn Ramirez, 20000041, DS, eating census takers,singing middle-of-the-road songs,making vulgar jokes,transforming into vehicles,drinking one's life away,solving crimes,inventing time machines,launching hostile takeovers,running a hotel,turning it up to 11
Kelly Johnston, 20000456, DS, pursuing criminals,interpreting evidence,running a hotel,promoting conservative values,starring in Hollywood movies,eluding the CIA,launching hostile takeovers,fighting for the resistance,eating carrots,finding clues
Margie Fitzgerald, 20000473, CS, running a criminal enterprise,promoting feminism,publishing newspapers,producing Hipbop records,singing torch songs,running for the senate,arguing against capitalism,throwing Bunga Bunga parties,writing plays,wielding political power
Katrice Gerald, 20000257, CS, running a tech giant,starring in Hollywood movies,cracking enemy codes,writing plays,instigating rebellion,publishing newspapers,coining sparkling witticisms,feeding the poor,publishing soft pornography,running for the presidency
Duane Sims, 20000166, CS, starring in comedies,coining sparkling witticisms,licking frogs,promoting communism,interpreting evidence,opening new markets,womanizing,performing household chores,building a search engine,raising new-age children
Earl Watson, 20000007, CS, playing golf,crushing dissent,fomenting social revolution,amassing nuclear weapons,over-acting,writing novels,publishing newspapers,singing middle-of-the-road songs,leading armies into battle,running pyramid schemes
Teena Hallman, 20000263, DS, wielding political power,solving crimes,promoting mysticism,finding clues,promoting conservative values,beating menial staff,signing sports memorabilia,fighting for justice,sucking roots,fighting for the rebel alliance
Charisse Duval, 20000203, DS, clipping coupons,tracking down criminals,solving mysteries,writing novels,handing out flowers,defending the weak,smuggling contraband,causing mayhem,punishing criminals,pursuing criminals
Jesse Cooper, 20000038, DS, wielding political power,talking in riddles,teaching the next generation,running a criminal empire,killing people in ingenious ways,instigating rebellion,smoking Laramie Hi-Tars,pursuing criminals,punishing criminals,foiling the schemes of evil villains
Victor Carter, 20000027, CS, launching cultural revolutions,leading revolts,leading armies into battle,painting colorful pictures,telling politicians what to do, spreading revolution,amassing nuclear weapons,instigating rebellion,writing plays,promoting democracy
Ella Nelson, 20000155, CS, issuing threats,singing middle-of-the-road songs,piloting the lunar module,campaigning for the presidency,over-acting,writing plays,ranting about liberals,managing hedge funds,playing golf,starring in Hollywood movies
Cameron Oliver, 20000183, DS, solving mysteries,solving crimes,finding clues,tricking criminals,milking coconuts,launching hostile takeovers,studying science,smoking Laramie Hi-Tars,directing action movies,wielding political power
Salome Cornwell, 20000316, DS, pioneering new technologies,digging for antiquities,doing the Charleston,driving under the influence,smuggling contraband,piloting the Millenium Falcon,defending the weak,extracting confessions,teaching the next generation,fighting for justice
