Julia Smith, 20000017, CS, collecting treasures,selling fast food,starring in Hollywood movies,hiding from extremists,ranting about liberals,writing short stories,warning about totalitarianism,writing pop songs,selling cheap airline seats,seducing women
Johanna Jordan, 20000192, DS, promoting yellow journalism,teaching magic,selling fried chicken,eluding imperial storm-troopers,brewing magican potions,solving mysteries,spreading revolution,hunting demons,promoting charity,fighting for justice
Debi Lange, 20000381, DS, terrorizing sleepers,hunting monsters,over-acting,playing rock guitar,smoking Silk Cut cigarettes,studying science,keeping a diary,eluding capture,making modern art,tracking down criminals
Sarah Curtis, 20000468, DS, preventing crime,engaging in bare-knuckle fighting,pioneering new technologies,devising evil schemes,tracking down criminals,hunting demons,spreading revolution,running a software company,killing demons,playing rock music
Catherine Hernandez, 20000069, DS, trimming bushes,creating nightmares,promoting socialism,promoting charity,eluding capture,womanizing,flying into a rage,defending the weak,solving crimes,attending cocktail parties
Weston Richey, 20000224, DS, promoting charity,eluding capture,singing pop songs,solving mysteries,performing household chores,killing monsters,making insipid musicals,stealing human fat,fighting for justice,looking after children
Olga Copeland, 20000163, DS, hosting automotive shows,solving crimes,over-acting,promoting conservative values,pursuing criminals,performing Web searches,finding clues,running a criminal empire,teaching magic,apprehending criminals
Deborah Murphy, 20000046, CS, promoting liberalism,warning about totalitarianism,hiding from the public,singing pop songs,staring at the moon,promoting humanism,testing new technologies,singing jazz songs,winning Michelin stars,commanding a spaceship
Lavonna Hartman, 20000400, CS, issuing threats,coining sparkling witticisms,amassing nuclear weapons,womanizing,wielding political power,writing purple prose,starring in comedies,running a smuggling business,singing torch songs,racking up marriages
Jacqueline Perez, 20000009, DS, explaining evolution,finding clues,practicing insincerity,solving mysteries,reading minds,preventing crime,engaging in bare-knuckle fighting,tracking down criminals,bending spoons,tricking criminals
Justin White, 20000058, CS, ruling over subjects,campaigning for the presidency,running a media empire,preventing crime,running the FBI,flaunting foppish fashions,writing comedy,eluding authorities,singing pop songs,grabbing power
Rosaline Flagg, 20000318, DS, keeping a diary,running a multinational corporation,cross-dressing in women's clothes,pioneering new technologies,performing kung-fu moves,keeping accounts,making modern art,burping,living amongst apes,eluding authorities
Shery Nieto, 20000298, DS, making topiary sculptures,killing monsters,writing for the New Yorker,writing up case notes,smoking Silk Cut cigarettes,grabbing power,preventing crime,offering medical opinions,writing plays,looking after children
Vicky Blake, 20000102, CS, studying science,scandalizing polite society,writing for the New Yorker,climbing social ladders,writing pop songs,writing Hollywood movies,wielding political power,writing short stories,taking anabolic steroids,promoting conservative values
Martha Wilkins, 20000420, CS, building airplanes,surviving fatwas,promoting conservative values,ranting about liberals,dancing to disco music,scandalizing polite society,performing stand-up,leading armies into battle,selling franchises,writing pop songs
Marva Sheppard, 20000333, DS, hacking into computers,promoting diversity,solving mysteries,solving crimes,searching for a new world,tracking down criminals,preparing for war,ruling over subjects,promoting mysticism,punishing terrorists
Charles Briggs, 20000159, CS, making unauthorized sex tapes,promoting new technologies,promoting Catholic values,modeling clothes,promoting conservative values,terrorizing employees,leading armies into battle,collecting rock samples,solving mysteries,fighting for democracy
Casey Poole, 20000485, CS, spreading philosophy,writing pop songs,promoting Scientology,writing TV comedies,promoting Catholic values,making cartoons,taking anabolic steroids,singing pop songs,promoting conservative values,manipulating ingenues
Bobby Williams, 20000026, DS, making topiary sculptures,finding clues,reporting the news,playing Baccarat ,teaching magic,punishing criminals,performing household chores,making documentaries,selling franchises,reading minds
Lois Coleman, 20000090, CS, coining sparkling witticisms,staring at the moon,ranting about liberals,tolerating adultery,promoting Catholic values,writing pop songs,running for the senate,making lewd remarks,leading revolts,giving investment advice
Gloria Vargas, 20000495, DS, fighting with swords,tending the garden,drinking demon blood,tricking criminals,offering medical opinions,searching for a new world,interpreting evidence,drinking one's life away,apprehending criminals,killing demons
Elsa Hayes, 20000169, CS, running Ponzi schemes,developing new technologies ,running a business empire,making cartoons,healing the sick,staring at the moon,developing military strategies,instigating rebellion,writing pop songs,avoiding taxes
Chastity Simonson, 20000294, DS, solving mysteries,climbing social ladders,burping,pioneering new technologies,foiling the schemes of evil villains,ruling over subjects,tracking down criminals,handing out flowers,spreading political gossip,eating census takers
Frances Sanders, 20000053, CS, making political gaffes,making cartoons,promoting communism,testing new technologies,writing Hollywood movies,chain-smoking Gauloises Bleues,giving investment advice,writing pop songs,solving mysteries,campaigning for democracy
Carl Bishop, 20000195, CS, promoting movie violence,enriching uranium,singing pop songs,ranting about liberals,dancing to disco music,preaching to presidents,cooking fancy food,writing Hollywood movies,ruining an empire,making cartoons
Olive Gordon, 20000181, DS, killing monsters,betraying friends,interviewing politicians,eating people,terrorizing sleepers,dating young women,tracking down criminals,ruling over subjects,tempting fate,running a media empire
Timothy Easley, 20000265, DS, tracking down criminals,studying magic,drawing whimsical cartoons,promoting capitalism,performing magic tricks,interviewing celebrities,trading innuendo,interpreting evidence,preparing for war,performing household chores
Penny Grant, 20000425, CS, running pyramid schemes,worrying about health,selling fast food,fighting with swords,directing Hollywood movies,starring in comedies,singing pop songs,taking anabolic steroids,finding clues,building a search engine
Val Zuniga, 20000342, CS, recruiting dissidents,singing country music,starring in Hollywood movies,making modern art,starring in comedies,promoting conservative values,promoting atheism,exploring the new world,building a search engine,instigating rebellion
Keven Iverson, 20000380, DS, tending the garden,trimming bushes,running for governor,keeping a diary,performing magic tricks,promoting charity,striving for world domination,seducing young women,building an army,promoting hair products
Lori Shelton, 20000189, CS, amassing nuclear weapons,preaching to presidents,developing new technologies ,promoting conservative values,writing plays,running a media empire,test-driving cars,running a kingdom,posing pointed questions,writing Hollywood movies
Homer Wise, 20000199, CS, seducing women,hiding from extremists,building airplanes,promoting conservative values,cooking fancy food,singing pop songs,directing animated films,preaching to presidents,making cartoons,playing jazz trumpet
Laquanda Wynn, 20000310, CS, developing military strategies,promoting Kaballah,fighting with swords,amassing nuclear weapons,selling franchises,making cartoons,marrying underage girls,fighting for democracy,running Ponzi schemes,curing lepers
Virginia Sanchez, 20000012, CS, making cartoons,climbing social ladders,running a crime family,doing stand-up,directing bad movies,rooting out facts,writing about social problems,coining epigrams,explaining natural selection,recruiting dissidents
Lucy Wood, 20000434, DS, running a software company,singing bawdy songs,looking after children,searching for a new world,rescuing damsels in distress,killing rival gladiators,seducing young women,teaching the next generation,avenging loved ones,starring in Hollywood movies
Judith Butler, 20000146, DS, making topiary sculptures,striving for world domination,solving mysteries,singing pop songs,collecting treasures,killing monsters,pioneering new technologies,crushing dissent,preventing crime,posing as a street thug
Janet Jones, 20000039, DS, tending the garden,teaching magic,smoking Silk Cut cigarettes,creating nightmares,singing pop songs,diagnosing diseases,pioneering new technologies,tricking criminals,making insipid musicals,writing on wax tablets
Jacquelynn Ritchey, 20000245, DS, dating young women,causing mayhem,starring in Hollywood movies,playing rock music,creating nightmares,seducing women,tracking down criminals,tricking criminals,promoting tolerance,interpreting evidence
Kattie Fountain, 20000266, DS, performing household chores,preparing for war,studying science,seducing young women,making soap,finding clues,hunting monsters,convicting criminals,hacking into computers,running a software company
Rose Thompson, 20000050, DS, slashing victims,playing Baccarat ,defending the weak,attacking consumerism,interpreting evidence,foiling the schemes of evil villains,commanding a spaceship,tracking down criminals,studying magic,stealing human fat
Karma Kelleher, 20000272, CS, undermining authority,writing rock songs,producing Hipbop records,playing jazz trumpet,making cartoons,teaching philosophy,singing pop songs,finding clues,campaigning for the presidency,writing pop songs
Benjamin Chavez, 20000178, CS, writing modern fiction,promoting Catholic values,developing new technologies ,eluding authorities,promoting pop music,writing Hollywood movies,directing movies,running a smuggling business,campaigning for democracy,seducing women
Samantha Ellis, 20000475, DS, playing Baccarat ,tracking down criminals,singing pop songs,teaching magic,leading revolts,promoting mysticism,tempting the innocent,rescuing damsels in distress,seducing young women,performing magic tricks
Rebecca Dennis, 20000440, CS, promoting atheism,promoting Kaballah,making political gaffes,promoting conservative values,avoiding taxes,starring in Hollywood movies,writing scripts,leading armies into battle,recruiting dissidents,challenging artistic norms
Shemika Read, 20000243, CS, running a software company,staring at the moon,ranting about liberals,starring in Hollywood movies,developing military strategies,winning Michelin stars,making kitsch,making threatening phone calls,selling fast food,searching for the messiah
Lee Klein, 20000104, CS, singing pop songs,running an empire,going for a spacewalk,posing pointed questions,writing about social problems,trading innuendo,running a tech giant,running Ponzi schemes,running a software company,writing political tracts
Sixta Boling, 20000277, CS, singing pop songs,collecting treasures,making modern art,wielding political power,promoting Heliocentrism,amassing wealth,popping amphetamines,writing pop songs,writing political tracts,writing comedy
Marva Sheppard, 20000333, DS, spreading revolution,inventing electrical marvels,running a budget airline,smoking herb,fighting for the rebel alliance,striving for world domination,writing up case notes,womanizing,counting calories,burping
Rosemary Peterson, 20000403, DS, pursuing criminals,fighting in gladiator arenas,singing pop songs,performing Web searches,preventing crime,hacking into computers,reading minds,playing rock music,teaching the next generation,promoting tolerance
Jasmin Chadwick, 20000279, CS, running a kingdom,fighting for democracy,worrying about health,writing pop songs,selling stock cubes,womanizing,promoting socialism,fighting for civil rights,amassing wealth,making movies
Dennis Edwards, 20000029, DS, tricking criminals,solving mysteries,laughing at God,hunting monsters,maintaining a secret identity,pioneering new technologies,engaging in bare-knuckle fighting,trading innuendo,fighting for the resistance,promoting hair products
Kenyatta Craft, 20000320, CS, staring at the moon,making vulgar jokes,fighting with swords,promoting new technologies,wielding political power,starring in comedies,promoting Catholic values,pushing haute couture,promoting conservative values,running a kingdom
Casey Poole, 20000485, DS, interpreting evidence,standing up to bullies,writing plays,climbing social ladders,trimming bushes,studying science,promoting diversity,solving crimes,promoting charity,performing household chores
Latina Gunderson, 20000362, CS, solving crimes,finding clues,solving mysteries,running a media empire,writing about social problems,tolerating adultery,making cartoons,womanizing,cooking dinners,starring in Hollywood movies
Victor Carter, 20000027, DS, drinking one's life away,treating diseases,recruiting dissidents,leading revolts,starring in Hollywood movies,selling franchises,fighting for the resistance,seducing young women,teaching the next generation,apprehending criminals
Vicky Blake, 20000102, CS, singing pop songs,promoting democracy,coining sparkling witticisms,worrying about health,making unauthorized sex tapes,collecting rock samples,running a media empire,spreading political gossip,writing short stories,running an empire
Wayne Tucker, 20000484, DS, leading revolts,looking after children,surviving in a post-apocalyptic world,preparing for war,preventing crime,promoting charity,running a multinational corporation,building an army,going on commando missions,eating census takers
Brian Butler, 20000015, DS, extracting confessions,promoting diversity,performing household chores,meddling in the dark arts,promoting conservative values,studying science,interpreting evidence,preparing for war,preventing crime,reading minds
Ernie Post, 20000233, CS, starring in Hollywood movies,teaching philosophy,running a media empire,preaching to presidents,publishing newspapers,writing pop songs,tolerating adultery,promoting Catholic values,plotting mutinies,amassing wealth
Mary Walters, 20000186, DS, solving crimes,dating young women,womanizing,wielding political power,practicing insincerity,fighting for justice,avoiding growing old,offering medical opinions,running a school for gifted teens,preventing crime
Lakia Bair, 20000347, CS, ranting about liberals,interviewing celebrities,interviewing politicians,writing about social problems,searching for the messiah,running for the senate,making movies,running a kingdom,amassing nuclear weapons,plotting mutinies
Antonio Santana, 20000346, CS, writing polemics,running a smuggling business,punishing crime,promoting conservative values,avoiding taxes,going for a spacewalk,pioneering new technologies,writing purple prose,hiding from extremists,solving mysteries
Sherie Lerner, 20000259, CS, promoting democracy,ranting about liberals,coining epigrams,singing torch songs,writing plays,collecting treasures,promoting Catholic values,spreading revolution,pioneering new technologies,writing rock songs
Willie Adams, 20000040, DS, eluding capture,defending the weak,inventing electrical marvels,dating young women,finding clues,spreading political gossip,convicting criminals,tempting fate,selling fried chicken,interviewing celebrities
Timothy Diaz, 20000036, CS, writing pop songs,promoting conservative values,making cartoons,scandalizing polite society,promoting Scientology,pushing haute couture,running a business empire,racking up marriages,spreading philosophy,selling kitsch
Marva Sheppard, 20000333, DS, hunting monsters,starring in Hollywood movies,pioneering new technologies,making insipid musicals,convicting criminals,standing up to bullies,living amongst apes,eluding capture,promoting pop music,performing office chores
Amiee Thacker, 20000212, CS, writing short stories,writing Hollywood movies,coining sparkling witticisms,cooking dinners,promoting science,writing pop songs,running a kingdom,playing the banjo,running pyramid schemes,directing bad movies
Betsy Flores, 20000131, CS, running the FBI,coining epigrams,leading armies into battle,selling modern art,writing short stories,running a media empire,writing plays,developing new technologies ,promoting new technologies,punishing crime
Keven Iverson, 20000380, DS, singing pop songs,maintaining a secret identity,performing magic tricks,fighting with swords,spreading revolution,tracking down criminals,devising evil schemes,making topiary sculptures,promoting charity,finding clues
Joline Hinds, 20000250, DS, performing magic tricks,running a multinational corporation,performing Web searches,going on commando missions,promoting hair products,killing demons,arresting criminals ,performing household chores,ranting about liberals,singing pop songs
Jeri Etheridge, 20000296, DS, maintaining a secret identity,performing magic tricks,defending the weak,reading minds,reading self-help books,fighting with swords,teaching magic,solving mysteries,eating bacon cheeseburgers,fighting for justice
Steven Green, 20000437, CS, collecting rock samples,scandalizing polite society,popping amphetamines,coining sparkling witticisms,promoting humanism,selling modern art,running a kingdom,seducing women,writing pop songs,amassing wealth
Anna Smith, 20000100, DS, running a hardware company,composing advertizing jingles,seducing young women,singing pop songs,preventing crime,interviewing celebrities,convicting criminals,exorcising demons,crushing dissent,hunting demons
Pamela Parker, 20000078, DS, promoting conservative values,preventing crime,running a multinational corporation,selling fast food,devising evil schemes,teaching magic,running a software company,eluding authorities,building an army,writing plays
Rigoberto Zeller, 20000369, CS, selling kitsch,staring at the moon,writing scripts,writing political tracts,pioneering new technologies,singing pop songs,playing the clarinet,starring in comedies,singing jazz songs,writing rock songs
Dreama Jernigan, 20000283, CS, coining sparkling witticisms,scandalizing polite society,studying science,staring at the moon,writing for the New Yorker,collecting treasures,playing the banjo,writing TV comedies,writing modern fiction,expressing dissent
Samantha Ellis, 20000475, CS, playing jazz trumpet,spreading political gossip,writing pop songs,seducing women,ruling over subjects,making cartoons,developing new technologies ,ranting about liberals,promoting humanism,promoting Catholic values
Arminda Mccloud, 20000242, CS, promoting new technologies,promoting conservative values,gyrating hips,wielding political power,starring in Hollywood movies,dancing to disco music,cheating clients,collecting treasures,leading revolts,building a search engine
Kasie Berube, 20000227, DS, hacking into computers,fighting for justice,studying magic,eluding capture,solving crimes,punishing criminals,terrorizing sleepers,fighting for democracy,ruling over subjects,performing kung-fu moves
Elizabeth Lopez, 20000064, CS, running a kingdom,enriching uranium,running a frontier town,directing bad movies,seducing women,studying mathematics,making unauthorized sex tapes,coining sparkling witticisms,writing Hollywood movies,promoting Catholic values
Lorine Linkous, 20000334, CS, patenting new technologies ,writing TV comedies,playing the banjo,pioneering new technologies,making threatening phone calls,writing political tracts,playing jazz trumpet,terrorizing employees,writing modern fiction,solving crimes
Antony Marchand, 20000270, CS, starring in Hollywood movies,running a software company,doing stand-up,singing pop songs,giving investment advice,wielding political power,amassing wealth,test-driving cars,testing new technologies,expressing dissent
Jade Arthur, 20000215, DS, trimming bushes,ruling over subjects,tracking down criminals,duelling acrobatically,pursuing criminals,making soap,promoting hair products,devising evil schemes,collecting treasures,fighting in gladiator arenas
Eufemia Mcduffie, 20000368, CS, fighting with swords,punishing crime,scandalizing polite society,directing science fiction movies,wielding political power,giving investment advice,writing Hollywood movies,writing modern fiction,promoting Scientology,spreading political gossip
Louise Martin, 20000054, CS, promoting Catholic values,starring in comedies,terrorizing employees,playing the clarinet,writing modern fiction,directing Hollywood movies,ranting about liberals,singing pop songs,testing new technologies,giving investment advice
Willette Rudd, 20000323, CS, making cartoons,singing country music,fighting with swords,fighting for democracy,gyrating hips,singing the blues,running a media empire,writing modern fiction,playing jazz trumpet,singing pop songs
Lorinda Dykes, 20000213, DS, interviewing politicians,flying into a rage,leading revolts,hunting monsters,playing rock music,tricking criminals,terrorizing sleepers,cross-dressing in women's clothes,stealing human fat,apprehending criminals
Jasmin Chadwick, 20000279, DS, smoking Silk Cut cigarettes,spreading revolution,tracking down criminals,running a kingdom,spreading political gossip,extracting confessions,promoting socialism,ruling over subjects,reporting the news,pioneering new technologies
Rosaline Flagg, 20000318, CS, collecting treasures,collecting rock samples,running a frontier town,climbing social ladders,promoting conservative values,scandalizing polite society,spreading philosophy,delivering judgments,writing pop songs,worrying about health
Carl Morgan, 20000002, CS, running a kingdom,seducing women,writing pop songs,making movies,gyrating hips,running Ponzi schemes,giving investment advice,fighting for democracy,promoting conservative values,living amongst apes
Keisha Naquin, 20000335, DS, spreading political gossip,offering medical opinions,duelling acrobatically,publishing newspapers,solving crimes,pioneering new technologies,solving mysteries,running a multinational corporation,reading minds,preventing crime
Romona Mccain, 20000365, CS, going for a spacewalk,preventing crime,promoting humanism,ruling over subjects,writing rock songs,making unauthorized sex tapes,solving mysteries,pioneering new technologies,running a smuggling business,hosting automotive shows
Matilda Mangum, 20000275, DS, interviewing politicians,performing magic tricks,tricking criminals,writing purple prose,duelling acrobatically,running a multinational corporation,promoting tolerance,tracking down criminals,running a school for gifted teens,interviewing celebrities
Maxima Talley, 20000249, CS, singing the blues,writing rock songs,womanizing,making kitsch,singing rock songs,selling fast food,coining epigrams,interviewing politicians,coining sparkling witticisms,playing drums
Samuel Fields, 20000158, CS, grabbing power,wielding political power,writing political tracts,punishing crime,writing rock songs,taking anabolic steroids,writing rap songs,making political gaffes,leading armies into battle,amassing nuclear weapons
Bill Chavez, 20000408, DS, eluding capture,leading revolts,running for governor,starring in Hollywood movies,promoting tolerance,stealing human fat,fighting the forces of good,interviewing politicians,promoting hair products,promoting conservative values
Jerald Cruz, 20000497, DS, keeping a diary,creating nightmares,eating census takers,tempting the innocent,living amongst apes,pursuing criminals,singing pop songs,looking after children,stealing human fat,starring in Hollywood movies
Jimmy Klein, 20000426, CS, promoting atheism,making unauthorized sex tapes,running a software company,writing modern fiction,promoting conservative values,promoting democracy,starring in Hollywood movies,running a media empire,coining epigrams,running pyramid schemes
Elizabeth Lopez, 20000064, DS, stealing human fat,making modern art,burping,defending the weak,starring in Hollywood movies,solving crimes,eluding capture,twirling a cane,teaching the next generation,pioneering new technologies
Gloria Vargas, 20000495, DS, hacking into computers,interpreting evidence,solving crimes,running pyramid schemes,keeping a diary,fighting for democracy,making ice sculptures,playing rock music,looking after children,hunting monsters
Olive Gordon, 20000181, DS, running a multinational corporation,smoking cigarettes,striving for world domination,interpreting evidence,performing Web searches,trading innuendo,fighting for the resistance,making soap,finding clues,analyzing murder scenes
Hsiu Mattos, 20000236, CS, gyrating hips,leading armies into battle,ruling over subjects,writing pop songs,grabbing power,running a software company,healing the sick,instigating rebellion,performing stand-up,making cartoons
Yelena Ratliff, 20000282, DS, running a multinational corporation,hunting monsters,keeping a diary,posing as a street thug,interpreting evidence,promoting tolerance,inventing electrical marvels,teaching the next generation,climbing social ladders,promoting circus attractions
Sue Pena, 20000455, CS, promoting Scientology,singing jazz songs,fighting with swords,writing Hollywood movies,proving math theorems,trading innuendo,directing bad movies,enriching uranium,selling fast food,womanizing
Kira Earl, 20000343, CS, writing pop songs,coining epigrams,promoting conservative values,writing plays,writing modern fiction,directing comedies,selling fast food,ranting about liberals,insulting minorities,building a search engine
Adrian Rose, 20000103, CS, wielding political power,hosting automotive shows,giving investment advice,singing pop songs,promoting conservative values,running a media empire,writing pop songs,promoting democracy,deflating political egos,warning about totalitarianism
Catherine Hernandez, 20000069, DS, seducing women,finding clues,maintaining a secret identity,fighting for justice,running a media empire,wielding political power,keeping a diary,meddling in the dark arts,pursuing criminals,dating young women
Daron Fort, 20000306, DS, engaging in bare-knuckle fighting,solving crimes,running a multinational corporation,going on commando missions,avenging loved ones,devising evil schemes,stealing human fat,explaining evolution,pursuing criminals,interpreting evidence
Calvin Garrett, 20000451, CS, fomenting social revolution,promoting democracy,warning about totalitarianism,singing Hipbop songs,seducing women,amassing nuclear weapons,expressing dissent,wielding political power,writing TV comedies,patenting new technologies 
Karla Reeves, 20000461, CS, plotting mutinies,singing pop songs,writing rock songs,running a kingdom,making modern art,starring in comedies,seducing women,making cartoons,promoting conservative values,undermining authority
Craig Rogers, 20000008, DS, singing bawdy songs,smoking Silk Cut cigarettes,performing household chores,ruling over subjects,punishing criminals,hacking into computers,twirling a cane,maintaining a secret identity,burping,apprehending criminals
Yuri Oliva, 20000254, DS, fighting for the rebel alliance,punishing criminals,revelling in blood spatter,promoting conservative values,solving mysteries,tracking down criminals,cheating at poker,chasing terrorists,fighting for justice,killing monsters
Mark Stewart, 20000081, DS, selling fast food,smoking cigarettes,impersonating women,playing rock music,belching,eating census takers,pursuing criminals,performing household chores,tricking criminals,cross-dressing in women's clothes
Mark Stewart, 20000081, CS, preventing crime,promoting new technologies,running an empire,starring in comedies,writing romantic poetry,searching for the messiah,promoting atheism,spreading philosophy,promoting Catholic values,designing clothes
Stephanie Clark, 20000073, CS, ranting about liberals,promoting communism,manipulating ingenues,playing the banjo,starring in Hollywood movies,fighting for civil rights,singing pop songs,writing rap songs,writing polemics,running a media empire
Willette Rudd, 20000323, CS, wielding political power,ranting about liberals,singing torch songs,staring at the moon,promoting conservative values,directing Hollywood movies,running pyramid schemes,pioneering new technologies,starring in Hollywood movies,playing jazz trumpet
Tonya Walton, 20000179, CS, directing movies,writing pop songs,writing plays,directing comedies,writing modern fiction,patenting new technologies ,campaigning for the presidency,performing stand-up,building airplanes, fighting for democracy
Jason Holloway, 20000118, CS, singing pop songs,ranting about liberals,running a frontier town,promoting conservative values,wielding political power,ruling over subjects,crushing dissent,campaigning for the presidency,womanizing,writing about social problems
Theresa Pratt, 20000416, CS, healing the sick,making kitsch,tolerating adultery,warning about totalitarianism,telling politicians what to do,writing pop songs,popping amphetamines,going for a spacewalk,making unauthorized sex tapes,singing pop songs
Benjamin Chavez, 20000178, DS, impersonating women,rescuing damsels in distress,finding clues,spreading political gossip,solving mysteries,flying into a rage,tricking criminals,making soap,treating diseases,making ice sculptures
Setsuko Prescott, 20000391, CS, promoting air travel,writing modern fiction,pioneering new technologies,insulting minorities,ruling over subjects,writing polemics,promoting new technologies,writing romantic poetry,collecting rock samples,stabbing in the back
Val Zuniga, 20000342, CS, building airplanes,pedalling furiously,issuing threats,marrying underage girls,scandalizing polite society,teaching philosophy to future leaders,wielding political power,running a media empire,coining sparkling witticisms,directing science fiction movies
Caleb Perez, 20000450, CS, scandalizing polite society,running a kingdom,starring in Hollywood movies,smoking Boyard cigarettes,fighting with swords,promoting movie violence,promoting new technologies,playing rock piano,pioneering new technologies,ruling over subjects
Joni Velasquez, 20000210, DS, promoting hair products,practicing the Occult,eluding capture,finding clues,solving crimes,apprehending criminals,performing kung-fu moves,punishing terrorists,tricking criminals,casting magic spells
Lou Koch, 20000207, DS, singing bawdy songs,solving mysteries,hosting automotive shows,striving for world domination,fighting for the resistance,eluding authorities,rescuing damsels in distress,extracting confessions,pulling dirty political tricks,preventing crime
China Hendricks, 20000364, CS, running assembly lines,jumping on couches,wielding political power,writing pop songs,trading innuendo,writing TV comedies,eluding authorities,promoting movie violence,writing Hollywood movies,worrying about health
