Virginia Glover, 20000140, DS, blanketing staff with memos,waging a secret war,tracking down criminals,analyzing murder scenes,punishing criminals,solving crimes,turning it up to 11,pioneering new technologies,tracking down terrorists,talking to mirrors
Clair Kramer, 20000373, DS, turning it up to 11,killing murderers,playing rock guitar,arresting drug dealers,blanketing staff with memos,solving crimes,talking to mirrors,punishing criminals,posing as a street thug,chasing starlets
Vicki Fletcher, 20000151, DS, preparing for war,solving mysteries,traveling in time,playing rock guitar,talking to mirrors,tracking down terrorists,selling cheap airline seats,blanketing staff with memos,enriching uranium,posing as a street thug
Benjamin Chavez, 20000178, CS, writing pop songs,promoting conservative values,promoting air travel,coining sparkling witticisms,amassing nuclear weapons,chasing starlets,running a bureaucracy,holding evasive press conferences,starring in pornographic movies,selling cheap airline seats
Denise Campbell, 20000010, CS, ordering wire-taps,starring in pornographic movies,issuing threats,promoting conservative values,promoting Kaballah,writing pop songs,running the FBI,selling cheap airline seats,starring in science fiction movies,singing torch songs
Love Shores, 20000377, DS, pioneering new technologies,seeking revenge,blanketing staff with memos,selling cheap airline seats,chasing terrorists,amassing wealth,chasing criminals,writing poetry,punishing terrorists,interpreting evidence
Fonda Crowell, 20000290, DS, tracking down criminals,ordering wire-taps,talking to mirrors,building an army,preventing terrorism,pioneering new technologies,analyzing murder scenes,chasing starlets,killing murderers,seeking revenge
Melaine Coffin, 20000390, DS, counting money,selling cheap airline seats,punishing terrorists,amassing wealth,posing as a street thug,ordering wire-taps,waging a secret war,pioneering new technologies,interviewing politicians,promoting Catholic values
Deborah Murphy, 20000046, CS, running a budget airline,promoting conservative values,over-acting,ranting about liberals,selling cheap airline seats,writing pop songs,constructing an ironic public image,coining sparkling witticisms,running the FBI,writing historical fiction
Craig Kelly, 20000164, DS, traveling in time,tracking down criminals,interpreting evidence,posing as a street thug,building an army,solving crimes,analyzing murder scenes,counting money,waging a secret war,punishing criminals
China Hendricks, 20000364, DS, punishing criminals,playing rock guitar,punishing terrorists,interpreting evidence,seeking revenge,planning assassinations,amassing wealth,counting money,talking to mirrors,selling cheap airline seats
Stephen Lloyd, 20000499, CS, playing drums,writing historical fiction,ranting about liberals,promoting new wars,writing pop songs,promoting Kaballah,starring in pornographic movies,issuing threats,singing pop songs,running the FBI
Burl Champagne, 20000208, DS, playing rock guitar,devising evil schemes,interpreting evidence,turning it up to 11,punishing terrorists,interviewing politicians,punishing criminals,building an army,promoting Catholic values,offering medical opinions
Myron Valdez, 20000153, CS, writing pop songs,writing poetry,running a budget airline,playing drums,selling cheap airline seats,coining sparkling witticisms,promoting conservative values,writing hawkish memos,writing historical fiction,blanketing staff with memos
Heather Turner, 20000061, CS, singing pop songs,running a bureaucracy,writing poetry,coining sparkling witticisms,writing pop songs,promoting Kaballah,chasing starlets,issuing threats,losing weight,promoting air travel
Indira Savage, 20000287, CS, ranting about liberals,singing torch songs,losing weight,coining sparkling witticisms,promoting conservative values,issuing threats,holding evasive press conferences,playing drums,running a bureaucracy,writing pop songs
Tami Black, 20000108, CS, chasing starlets,starring in TV shows,starring in pornographic movies,writing pop songs,holding evasive press conferences,promoting conservative values,singing pop songs,issuing threats,over-acting,ranting about liberals
Shirley Morris, 20000028, CS, promoting new wars,promoting conservative values,starring in TV shows,losing weight,writing pop songs,ranting about liberals,constructing an ironic public image,writing poetry,selling cheap airline seats,promoting air travel
Gabriel Webster, 20000161, DS, tracking down terrorists,selling confectionary,building an army,seeking revenge,blanketing staff with memos,finding clues,offering medical opinions,counting money,waging a secret war,enriching uranium
Rory Esquivel, 20000314, CS, chasing starlets,holding evasive press conferences,writing historical fiction,coining sparkling witticisms,running a bureaucracy,promoting Kaballah,writing pop songs,promoting conservative values,writing poetry,running a budget airline
Teri Ortiz, 20000149, DS, plotting with the enemy,punishing criminals,interviewing celebrities,interpreting evidence,blanketing staff with memos,killing murderers,waging a secret war,amassing wealth,chasing terrorists,preparing for war
Romelia Holden, 20000312, DS, tracking down terrorists,punishing terrorists,enriching uranium,chasing terrorists,inventing new confectionary,arresting drug dealers,selling confectionary,playing rock guitar,counting money,chasing criminals
Annabel Larry, 20000382, DS, punishing criminals,seeking revenge,pioneering new technologies,tracking down criminals,promoting Catholic values,expressing violent urges,analyzing murder scenes,selling cheap airline seats,planning assassinations,interviewing politicians
Teri Ortiz, 20000149, CS, playing drums,ordering wire-taps,starring in TV shows,writing pop songs,issuing threats,promoting air travel,writing historical fiction,selling cheap airline seats,losing weight,promoting conservative values
Dusti Harwood, 20000327, DS, pioneering new technologies,analyzing murder scenes,promoting Catholic values,eating donuts,punishing terrorists,turning it up to 11,writing poetry,counting money,posing as a street thug,tracking down terrorists
Romelia Holden, 20000312, DS, interpreting evidence,enriching uranium,punishing terrorists,punishing criminals,building an army,playing rock guitar,pioneering new technologies,chasing terrorists,tracking down criminals,analyzing murder scenes
Steve Ross, 20000024, DS, inventing new confectionary,tracking down terrorists,pioneering new technologies,chasing terrorists,tracking down criminals,building an army,killing murderers,playing rock music,blanketing staff with memos,interpreting evidence
Billy Garcia, 20000003, DS, punishing terrorists,building an army,planning assassinations,interviewing politicians,blanketing staff with memos,preventing crime,amassing wealth,punishing criminals,analyzing murder scenes,selling cheap airline seats
Marita Blue, 20000246, CS, running a bureaucracy,promoting air travel,ranting about liberals,promoting conservative values,coining sparkling witticisms,starring in TV shows,issuing threats,writing poetry,writing pop songs,holding evasive press conferences
Thomas Tyler, 20000413, CS, holding evasive press conferences,writing poetry,ordering wire-taps,singing pop songs,constructing an ironic public image,writing historical fiction,singing torch songs,playing drums,selling cheap airline seats,promoting Kaballah
Kathy Jacobs, 20000135, DS, tracking down criminals,selling cheap airline seats,promoting Catholic values,enriching uranium,blanketing staff with memos,seeking revenge,waging a secret war,punishing terrorists,inventing new confectionary,turning it up to 11
Anthony Phan, 20000354, CS, promoting conservative values,running the FBI,singing pop songs,issuing threats,running a bureaucracy,writing pop songs,holding evasive press conferences,playing drums,ranting about liberals,singing torch songs
Steve Ross, 20000024, DS, preventing crime,posing as a street thug,solving crimes,ordering wire-taps,running a business empire,tracking down terrorists,amassing wealth,blanketing staff with memos,enriching uranium,promoting Catholic values
Cheryl Wells, 20000193, CS, promoting air travel,losing weight,issuing threats,ranting about liberals,writing pop songs,running the FBI,promoting conservative values,running a budget airline,coining sparkling witticisms,holding evasive press conferences
Marian Jennings, 20000120, CS, singing pop songs,ranting about liberals,writing poetry,issuing threats,writing pop songs,writing historical fiction,holding evasive press conferences,promoting conservative values,running the FBI,running a bureaucracy
Yolanda Morales, 20000410, CS, issuing threats,singing torch songs,playing drums,chasing criminals,blanketing staff with memos,writing historical fiction,holding evasive press conferences,coining sparkling witticisms,ranting about liberals,promoting Kaballah
Patsy Mckenzie, 20000162, DS, enriching uranium,arresting drug dealers,posing as a street thug,planning assassinations,amassing wealth,punishing terrorists,preparing for war,building an army,writing poetry,chasing starlets
Willette Rudd, 20000323, DS, posing as a street thug,interpreting evidence,chasing terrorists,tracking down criminals,amassing wealth,punishing criminals,killing murderers,playing rock guitar,ordering wire-taps,chasing starlets
Catherina Hanna, 20000284, CS, amassing nuclear weapons,promoting conservative values,chasing starlets,losing weight,coining sparkling witticisms,playing drums,issuing threats,running a bureaucracy,singing pop songs,selling cheap airline seats
Saundra Mchenry, 20000285, CS, playing drums,writing historical fiction,holding evasive press conferences,issuing threats,promoting conservative values,writing poetry,blanketing staff with memos,running a bureaucracy,starring in pornographic movies,writing pop songs
Ludie Valencia, 20000202, DS, chasing criminals,building an army,chasing terrorists,counting money,killing murderers,interviewing politicians,posing as a street thug,playing rock music,interpreting evidence,pioneering new technologies
Geneva Nunez, 20000144, CS, running a bureaucracy,crushing dissent,starring in pornographic movies,writing poetry,coining sparkling witticisms,ranting about liberals,amassing nuclear weapons,selling cheap airline seats,promoting Kaballah,starring in TV shows
Susie Frazier, 20000106, CS, writing poetry,singing pop songs,spreading political gossip,promoting conservative values,chasing starlets,playing drums,singing torch songs,writing historical fiction,ranting about liberals,promoting air travel
Lisa Bell, 20000047, CS, coining sparkling witticisms,blanketing staff with memos,writing pop songs,ranting about liberals,issuing threats,promoting conservative values,singing pop songs,starring in TV shows,chasing starlets,writing poetry
Andrew Moore, 20000042, DS, posing as a street thug,waging a secret war,amassing wealth,pioneering new technologies,chasing starlets,tracking down criminals,arresting drug dealers,promoting Catholic values,punishing criminals,selling cheap airline seats
Julee Kinney, 20000383, DS, analyzing murder scenes,killing murderers,punishing terrorists,pioneering new technologies,amassing wealth,waging a secret war,chasing terrorists,chasing criminals,counting money,promoting Catholic values
Kaitlyn Bassett, 20000329, DS, arresting drug dealers,punishing criminals,tracking down criminals,posing as a street thug,ranting about liberals,solving crimes,pioneering new technologies,turning it up to 11,punishing terrorists,promoting Catholic values
Martin Phillips, 20000060, DS, pioneering new technologies,chasing criminals,promoting Catholic values,waging a secret war,inventing new confectionary,expressing violent urges,making chocolate,solving crimes,playing rock guitar,talking to mirrors
Cecilia Farmer, 20000459, CS, ranting about liberals,selling cheap airline seats,promoting Kaballah,over-acting,promoting conservative values,promoting new wars,writing poetry,running a budget airline,chasing starlets,ordering wire-taps
Pennie Melvin, 20000205, DS, chasing terrorists,counting money,blanketing staff with memos,promoting Catholic values,building an army,amassing wealth,finding clues,traveling in time,tracking down terrorists,preventing terrorism
